Symbol,Sector,Industry,CapTier,Category
A,Health Care,Life Sciences Tools & Services,large,
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",large,
ABBV,Health Care,Biotechnology,large,
ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",large,
ABT,Health Care,Health Care Equipment,large,
ACGL,Financials,Property & Casualty Insurance,large,
ACN,Information Technology,IT Consulting & Other Services,large,
ADBE,Information Technology,Application Software,large,
ADI,Information Technology,Semiconductors,large,
ADM,Consumer Staples,Agricultural Products & Services,large,
ADP,Industrials,Human Resource & Employment Services,large,
ADSK,Information Technology,Application Software,large,
AEE,Utilities,Multi-Utilities,large,
AEP,Utilities,Electric Utilities,large,
AES,Utilities,Independent Power Producers & Energy Traders,large,
AFL,Financials,Life & Health Insurance,large,
AIG,Financials,Multi-line Insurance,large,
AIZ,Financials,Multi-line Insurance,large,
AJG,Financials,Insurance Brokers,large,
AKAM,Information Technology,Internet Services & Infrastructure,large,
ALB,Materials,Specialty Chemicals,large,
ALGN,Health Care,Health Care Supplies,large,
ALL,Financials,Property & Casualty Insurance,large,
ALLE,Industrials,Building Products,large,
AMAT,Information Technology,Semiconductor Materials & Equipment,large,
AMCR,Materials,Paper & Plastic Packaging Products & Materials,large,
AMD,Information Technology,Semiconductors,large,
AME,Industrials,Electrical Components & Equipment,large,
AMGN,Health Care,Biotechnology,large,
AMP,Financials,Asset Management & Custody Banks,large,
AMT,Real Estate,Telecom Tower REITs,large,
AMZN,Consumer Discretionary,Broadline Retail,large,
ANET,Information Technology,Communications Equipment,large,
AON,Financials,Insurance Brokers,large,
AOS,Industrials,Building Products,large,
APA,Energy,Oil & Gas Exploration & Production,large,
APD,Materials,Industrial Gases,large,
APH,Information Technology,Electronic Components,large,
APO,Financials,Asset Management & Custody Banks,large,
APP,Information Technology,Application Software,large,
APTV,Consumer Discretionary,Automotive Parts & Equipment,large,
ARE,Real Estate,Office REITs,large,
ARES,Financials,Asset Management & Custody Banks,large,
ATO,Utilities,Gas Utilities,large,
AVB,Real Estate,Multi-Family Residential REITs,large,
AVGO,Information Technology,Semiconductors,large,
AVY,Materials,Paper & Plastic Packaging Products & Materials,large,
AWK,Utilities,Water Utilities,large,
AXON,Industrials,Aerospace & Defense,large,
AXP,Financials,Consumer Finance,large,
AZO,Consumer Discretionary,Automotive Retail,large,
BA,Industrials,Aerospace & Defense,large,
BAC,Financials,Diversified Banks,large,
BALL,Materials,"Metal, Glass & Plastic Containers",large,
BAX,Health Care,Health Care Equipment,large,
BBY,Consumer Discretionary,Computer & Electronics Retail,large,
BDX,Health Care,Health Care Equipment,large,
BEN,Financials,Asset Management & Custody Banks,large,
BF-B,Consumer Staples,Distillers & Vintners,large,
BG,Consumer Staples,Agricultural Products & Services,large,
BIIB,Health Care,Biotechnology,large,
BK,Financials,Asset Management & Custody Banks,large,
BKNG,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",large,
BKR,Energy,Oil & Gas Equipment & Services,large,
BLDR,Industrials,Building Products,large,
BLK,Financials,Asset Management & Custody Banks,large,
BMY,Health Care,Pharmaceuticals,large,
BR,Industrials,Data Processing & Outsourced Services,large,
BRK-B,Financials,Multi-Sector Holdings,large,
BRO,Financials,Insurance Brokers,large,
BSX,Health Care,Health Care Equipment,large,
BX,Financials,Asset Management & Custody Banks,large,
BXP,Real Estate,Office REITs,large,
C,Financials,Diversified Banks,large,
CAG,Consumer Staples,Packaged Foods & Meats,large,
CAH,Health Care,Health Care Distributors,large,
CARR,Industrials,Building Products,large,
CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,large,
CB,Financials,Property & Casualty Insurance,large,
CBOE,Financials,Financial Exchanges & Data,large,
CBRE,Real Estate,Real Estate Services,large,
CCI,Real Estate,Telecom Tower REITs,large,
CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",large,
CDNS,Information Technology,Application Software,large,
CDW,Information Technology,Technology Distributors,large,
CEG,Utilities,Electric Utilities,large,
CF,Materials,Fertilizers & Agricultural Chemicals,large,
CFG,Financials,Regional Banks,large,
CHD,Consumer Staples,Household Products,large,
CHRW,Industrials,Air Freight & Logistics,large,
CHTR,Communication Services,Cable & Satellite,large,
CI,Health Care,Health Care Services,large,
CIEN,Information Technology,Communications Equipment,large,
CINF,Financials,Property & Casualty Insurance,large,
CL,Consumer Staples,Household Products,large,
CLX,Consumer Staples,Household Products,large,
CMCSA,Communication Services,Cable & Satellite,large,
CME,Financials,Financial Exchanges & Data,large,
CMG,Consumer Discretionary,Restaurants,large,
CMI,Industrials,Construction Machinery & Heavy Transportation Equipment,large,
CMS,Utilities,Multi-Utilities,large,
CNC,Health Care,Managed Health Care,large,
CNP,Utilities,Multi-Utilities,large,
COF,Financials,Consumer Finance,large,
COHR,Information Technology,Electronic Components,large,
COIN,Financials,Financial Exchanges & Data,large,
COO,Health Care,Health Care Supplies,large,
COP,Energy,Oil & Gas Exploration & Production,large,
COR,Health Care,Health Care Distributors,large,
COST,Consumer Staples,Consumer Staples Merchandise Retail,large,
CPAY,Financials,Transaction & Payment Processing Services,large,
CPB,Consumer Staples,Packaged Foods & Meats,large,
CPRT,Industrials,Diversified Support Services,large,
CPT,Real Estate,Multi-Family Residential REITs,large,
CRH,Materials,Construction Materials,large,
CRL,Health Care,Life Sciences Tools & Services,large,
CRM,Information Technology,Application Software,large,
CRWD,Information Technology,Systems Software,large,
CSCO,Information Technology,Communications Equipment,large,
CSGP,Real Estate,Real Estate Services,large,
CSX,Industrials,Rail Transportation,large,
CTAS,Industrials,Diversified Support Services,large,
CTRA,Energy,Oil & Gas Exploration & Production,large,
CTSH,Information Technology,IT Consulting & Other Services,large,
CTVA,Materials,Fertilizers & Agricultural Chemicals,large,
CVNA,Consumer Discretionary,Automotive Retail,large,
CVS,Health Care,Health Care Services,large,
CVX,Energy,Integrated Oil & Gas,large,
D,Utilities,Multi-Utilities,large,
DAL,Industrials,Passenger Airlines,large,
DASH,Consumer Discretionary,Specialized Consumer Services,large,
DD,Materials,Specialty Chemicals,large,
DDOG,Information Technology,Application Software,large,
DE,Industrials,Agricultural & Farm Machinery,large,
DECK,Consumer Discretionary,Footwear,large,
DELL,Information Technology,"Technology Hardware, Storage & Peripherals",large,
DG,Consumer Staples,Consumer Staples Merchandise Retail,large,
DGX,Health Care,Health Care Services,large,
DHI,Consumer Discretionary,Homebuilding,large,
DHR,Health Care,Life Sciences Tools & Services,large,
DIS,Communication Services,Movies & Entertainment,large,
DLR,Real Estate,Data Center REITs,large,
DLTR,Consumer Staples,Consumer Staples Merchandise Retail,large,
DOC,Real Estate,Health Care REITs,large,
DOV,Industrials,Industrial Machinery & Supplies & Components,large,
DOW,Materials,Commodity Chemicals,large,
DPZ,Consumer Discretionary,Restaurants,large,
DRI,Consumer Discretionary,Restaurants,large,
DTE,Utilities,Multi-Utilities,large,
DUK,Utilities,Electric Utilities,large,
DVA,Health Care,Health Care Services,large,
DVN,Energy,Oil & Gas Exploration & Production,large,
DXCM,Health Care,Health Care Equipment,large,
EA,Communication Services,Interactive Home Entertainment,large,
EBAY,Consumer Discretionary,Broadline Retail,large,
ECL,Materials,Specialty Chemicals,large,
ED,Utilities,Multi-Utilities,large,
EFX,Industrials,Research & Consulting Services,large,
EG,Financials,Reinsurance,large,
EIX,Utilities,Electric Utilities,large,
EL,Consumer Staples,Personal Care Products,large,
ELV,Health Care,Managed Health Care,large,
EME,Industrials,Construction & Engineering,large,
EMR,Industrials,Electrical Components & Equipment,large,
EOG,Energy,Oil & Gas Exploration & Production,large,
EPAM,Information Technology,IT Consulting & Other Services,large,
EQIX,Real Estate,Data Center REITs,large,
EQR,Real Estate,Multi-Family Residential REITs,large,
EQT,Energy,Oil & Gas Exploration & Production,large,
ERIE,Financials,Insurance Brokers,large,
ES,Utilities,Electric Utilities,large,
ESS,Real Estate,Multi-Family Residential REITs,large,
ETN,Industrials,Electrical Components & Equipment,large,
ETR,Utilities,Electric Utilities,large,
EVRG,Utilities,Electric Utilities,large,
EW,Health Care,Health Care Equipment,large,
EXC,Utilities,Electric Utilities,large,
EXE,Energy,Oil & Gas Exploration & Production,large,
EXPD,Industrials,Air Freight & Logistics,large,
EXPE,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",large,
EXR,Real Estate,Self-Storage REITs,large,
F,Consumer Discretionary,Automobile Manufacturers,large,
FANG,Energy,Oil & Gas Exploration & Production,large,
FAST,Industrials,Trading Companies & Distributors,large,
FCX,Materials,Copper,large,
FDS,Financials,Financial Exchanges & Data,large,
FDX,Industrials,Air Freight & Logistics,large,
FE,Utilities,Electric Utilities,large,
FFIV,Information Technology,Communications Equipment,large,
FICO,Information Technology,Application Software,large,
FIS,Financials,Transaction & Payment Processing Services,large,
FISV,Financials,Transaction & Payment Processing Services,large,
FITB,Financials,Regional Banks,large,
FIX,Industrials,Construction & Engineering,large,
FOX,Communication Services,Broadcasting,large,
FOXA,Communication Services,Broadcasting,large,
FRT,Real Estate,Retail REITs,large,
FSLR,Information Technology,Semiconductors,large,
FTNT,Information Technology,Systems Software,large,
FTV,Industrials,Industrial Machinery & Supplies & Components,large,
GD,Industrials,Aerospace & Defense,large,
GDDY,Information Technology,Internet Services & Infrastructure,large,
GE,Industrials,Aerospace & Defense,large,
GEHC,Health Care,Health Care Equipment,large,
GEN,Information Technology,Systems Software,large,
GEV,Industrials,Heavy Electrical Equipment,large,
GILD,Health Care,Biotechnology,large,
GIS,Consumer Staples,Packaged Foods & Meats,large,
GL,Financials,Life & Health Insurance,large,
GLW,Information Technology,Electronic Components,large,
GM,Consumer Discretionary,Automobile Manufacturers,large,
GNRC,Industrials,Electrical Components & Equipment,large,
GOOG,Communication Services,Interactive Media & Services,large,
GOOGL,Communication Services,Interactive Media & Services,large,
GPC,Consumer Discretionary,Distributors,large,
GPN,Financials,Transaction & Payment Processing Services,large,
GRMN,Consumer Discretionary,Consumer Electronics,large,
GS,Financials,Investment Banking & Brokerage,large,
GWW,Industrials,Industrial Machinery & Supplies & Components,large,
HAL,Energy,Oil & Gas Equipment & Services,large,
HAS,Consumer Discretionary,Leisure Products,large,
HBAN,Financials,Regional Banks,large,
HCA,Health Care,Health Care Facilities,large,
HD,Consumer Discretionary,Home Improvement Retail,large,
HIG,Financials,Property & Casualty Insurance,large,
HII,Industrials,Aerospace & Defense,large,
HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",large,
HOLX,Health Care,Health Care Equipment,large,
HON,Industrials,Industrial Conglomerates,large,
HOOD,Financials,Investment Banking & Brokerage,large,
HPE,Information Technology,"Technology Hardware, Storage & Peripherals",large,
HPQ,Information Technology,"Technology Hardware, Storage & Peripherals",large,
HRL,Consumer Staples,Packaged Foods & Meats,large,
HSIC,Health Care,Health Care Distributors,large,
HST,Real Estate,Hotel & Resort REITs,large,
HSY,Consumer Staples,Packaged Foods & Meats,large,
HUBB,Industrials,Industrial Machinery & Supplies & Components,large,
HUM,Health Care,Managed Health Care,large,
HWM,Industrials,Aerospace & Defense,large,
IBKR,Financials,Investment Banking & Brokerage,large,
IBM,Information Technology,IT Consulting & Other Services,large,
ICE,Financials,Financial Exchanges & Data,large,
IDXX,Health Care,Health Care Equipment,large,
IEX,Industrials,Industrial Machinery & Supplies & Components,large,
IFF,Materials,Specialty Chemicals,large,
INCY,Health Care,Biotechnology,large,
INTC,Information Technology,Semiconductors,large,
INTU,Information Technology,Application Software,large,
INVH,Real Estate,Single-Family Residential REITs,large,
IP,Materials,Paper & Plastic Packaging Products & Materials,large,
IQV,Health Care,Life Sciences Tools & Services,large,
IR,Industrials,Industrial Machinery & Supplies & Components,large,
IRM,Real Estate,Other Specialized REITs,large,
ISRG,Health Care,Health Care Equipment,large,
IT,Information Technology,IT Consulting & Other Services,large,
ITW,Industrials,Industrial Machinery & Supplies & Components,large,
IVZ,Financials,Asset Management & Custody Banks,large,
J,Industrials,Construction & Engineering,large,
JBHT,Industrials,Cargo Ground Transportation,large,
