Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
AAPL,Apple Inc.,242.43,USD,-3.190639725261553,37555783,0.7149978618954097,3664529001809.0146,USD,39.93970246626798,6.0699,USD,-0.9755779238788207,0.395336,Electronic technology,Buy
NVDA,NVIDIA Corporation,137.0402,USD,2.0479559163005487,145041905,0.7457957496899449,3356114330209.69,USD,53.98046244140702,2.5387,USD,235.18616318986005,0.0253183,Electronic technology,Strong buy
MSFT,Microsoft Corporation,417.19,USD,-1.0225385527876636,9870091,0.46241946069532197,3101757945723.0894,USD,34.43326537855215,12.1159,USD,17.332778105964493,0.730724,Technology services,Strong buy
GOOG,Alphabet Inc.,190.27,USD,-0.08926696072253072,12196396,0.6245262567076807,2321455949282.632,USD,25.2397691848511,7.5385,USD,44.529227937652166,0.31506,Technology services,Buy
GOOGL,Alphabet Inc.,188.905,USD,-0.20866349709456428,13149922,0.4831772235416773,2318681734828.859,USD,25.058698680108776,7.5385,USD,44.529227937652166,0.316957,Technology services,Buy
AMZN,"Amazon.com, Inc.",219.77,USD,0.17320752996947167,23327173,0.6718908589815666,2310883904381.9155,USD,47.099290628147706,4.6661,USD,143.63512949039264,0,Retail trade,Strong buy
META,"Meta Platforms, Inc.",595.6,USD,1.72328397465458,7770379,0.5710436045559678,1503294861303.9033,USD,28.048694341755162,21.2345,USD,87.43986512132903,0.341583,Technology services,Buy
TSLA,"Tesla, Inc.",377.4,USD,-6.547147385103011,89124312,0.9238905421557588,1211476562988.5254,USD,103.38593030900724,3.6504,USD,17.54628884237642,0,Consumer durables,Neutral
AVGO,Broadcom Inc.,232.8264,USD,0.4254658385093182,22299004,0.4809691131392723,1091340195755.984,USD,190.98219998359446,1.2191,USD,-62.98803813224847,0.93599,Electronic technology,Strong buy
WMT,Walmart Inc.,89.88,USD,-0.5201992252351952,7441200,0.3859123388391234,722040742200.445,USD,36.910188493285695,2.4351,USD,21.27595995816525,0.91865,Retail trade,Strong buy
JPM,JP Morgan Chase & Co.,240.415,USD,0.2941053773309349,4081696,0.42225907200716517,676850123577.7924,USD,13.373700401074723,17.9767,USD,7.310768863419306,1.91899,Finance,Buy
XOM,Exxon Mobil Corporation,107.315,USD,-0.23705494096866736,7388422,0.46024272829213153,471659589242.9063,USD,13.366256476683937,8.0288,USD,-20.183714248789656,3.56977,Energy minerals,Buy
COST,Costco Wholesale Corporation,906.91,USD,-1.0215329542602087,1179533,0.53388069623337,402576328008.4086,USD,53.25492084370743,17.0296,USD,16.132815963011197,0.491122,Retail trade,Buy
PG,Procter & Gamble Company (The),166.58,USD,-0.6382344169400496,2356681,0.3370264582418106,392302840107.33,USD,28.73059675750259,5.798,USD,-5.738904243212482,2.36218,Consumer non-durables,Buy
NFLX,"Netflix, Inc.",887.31,USD,-0.44989453843738547,1482858,0.5481771899040245,379287876343.08435,USD,50.20993662290629,17.672,USD,76.20899391763885,0,Technology services,Buy
JNJ,Johnson & Johnson,144.1099,USD,-0.35271746646383223,2850391,0.351428363418564,346962304808.25476,USD,23.82139314996033,6.0496,USD,15.461398988453103,3.3951,Health technology,Buy
ASML,ASML Holding N.V. - New York Registry Shares,700.757,USD,1.1076643388930436,779339,0.5567117121268003,276414353107.9856,USD,36.72884607321061,19.0792,USD,-7.378028059614544,0.823346,Electronic technology,Buy
KO,Coca-Cola Company (The),61.79,USD,-0.7548988114359121,4907089,0.3079357217081672,266178761730.33298,USD,25.662430434421463,2.4078,USD,-2.9308607135658216,3.11597,Consumer non-durables,Buy
CVX,Chevron Corporation,146.56,USD,1.187517260425296,4409066,0.4212193750560371,263381713418.58713,USD,16.130842973023544,9.0857,USD,-32.44330433489479,4.50152,Energy minerals,Buy
TMUS,"T-Mobile US, Inc.",219.4,USD,-0.6025460970416274,1431448,0.3593927435429351,254610749026.76215,USD,25.000854632678873,8.7757,USD,36.04892719831329,1.28211,Communications,Buy
MRK,"Merck & Company, Inc.",99.06,USD,-0.4221954161640548,2971572,0.28593539658187167,250585725077.4276,USD,20.747722274583726,4.7745,USD,165.2057990334944,3.13631,Health technology,Buy
CSCO,"Cisco Systems, Inc.",58.8842,USD,-0.533445945945951,8139905,0.37362474824845404,234521539357.4032,USD,25.352708171876344,2.3226,USD,-29.881656804733726,2.68581,Electronic technology,Buy
WFC,Wells Fargo & Company,70.11,USD,-0.18507972665147418,4791909,0.32101392001608103,233430587466.21826,USD,14.576792731355384,4.8097,USD,3.652859790526275,2.13554,Finance,Buy
MCD,McDonald's Corporation,292.47,USD,0.8899927558729315,1668407,0.5739119582709554,209589771307.47037,USD,25.674406355616032,11.3915,USD,0.36387024017199215,2.33882,Consumer services,Buy
AXP,American Express Company,297.13,USD,0.11455911587316789,973906,0.3714154142739873,209311714781.88217,USD,21.855829349025374,13.595,USD,27.471847427590923,0.909734,Finance,Neutral
PEP,"PepsiCo, Inc.",150.19,USD,-1.2297777193213235,2170175,0.2975347015051067,206059026654.6305,USD,22.137224555973173,6.7845,USD,13.241086927493662,3.5052,Consumer non-durables,Buy
AZN,AstraZeneca PLC,66.01,USD,0.7478632478632617,1924863,0.3871565167168832,203005072650.1952,USD,31.721851122110625,2.0809,USD,10.042305658381819,2.2207,Health technology,Buy
IBM,International Business Machines Corporation,219.17,USD,-0.30023199745258833,1331716,0.34774638659627044,202654477372.46085,USD,31.8992242420714,6.8707,USD,-8.83312987633353,3.03416,Technology services,Neutral
DIS,Walt Disney Company (The),110.73,USD,-0.5568028738212756,3284982,0.40935399821792334,200525295862.81647,USD,40.76351052864085,2.7164,USD,111.11370171757211,0.853166,Consumer services,Buy
LIN,Linde plc,415.77,USD,-0.6926696443499735,792674,0.31826579562755025,197972175579.6607,USD,31.555579167868363,13.1758,USD,8.858521431640177,1.32801,Process industries,Buy
AMD,"Advanced Micro Devices, Inc.",120.3301,USD,-0.3807434390264133,24821192,0.6461085022717901,195272574959.4792,USD,107.639413185437,1.1179,USD,781.6246056782334,0,Electronic technology,Buy
ADBE,Adobe Inc.,441.435,USD,-0.7297382387334723,1597330,0.35471921591137523,194319689187.91656,USD,35.6004580755986,12.3997,USD,4.906174385353378,0,Technology services,Buy
ISRG,"Intuitive Surgical, Inc.",522.83,USD,0.166679439037475,480020,0.3373625629884128,186221306210.7672,USD,84.0360041790565,6.2215,USD,46.51579021736571,0,Health technology,Buy
GE,GE Aerospace,168.31,USD,0.9113256190419151,2197908,0.4542772219287243,182160886602.65198,USD,29.68587403213574,5.6697,USD,-35.05200696480939,0.671503,Producer manufacturing,Strong buy
INTU,Intuit Inc.,621.325,USD,-1.1416070007955377,552355,0.345882294005116,173919292441.7973,USD,60.4425269465738,10.2796,USD,12.512587014579049,0.595068,Technology services,Buy
QCOM,QUALCOMM Incorporated,153.42,USD,-0.130191381330567,2376651,0.31351392936400185,170449614582.06284,USD,17.089580502149843,8.9774,USD,39.81093582096524,2.18071,Electronic technology,Buy
TXN,Texas Instruments Incorporated,186.43,USD,-0.5759692816383042,2571277,0.5170739611480043,170064538322.9903,USD,34.6337476081666,5.3829,USD,-30.20913015856552,2.80518,Electronic technology,Neutral
PLTR,Palantir Technologies Inc.,74.22,USD,-1.864339547798488,58890550,0.6075533017839184,169074718789.7747,USD,375.79746835443035,0.1975,USD,205.25502318392586,0,Technology services,Neutral
BKNG,Booking Holdings Inc. Common Stock,4910.82,USD,-1.1593222795174394,79807,0.40695661396921784,162532002586.44254,USD,33.321798180974326,147.3756,USD,2.6421854008060914,0.704449,Consumer services,Buy
